"session","region"
"V2POST","ACC1_-.0280571_43.0421_16.6396"
"V2PRE","ACC1_-.0280571_43.0421_16.6396"
"V3","ACC1_-.0280571_43.0421_16.6396"
"V4POST","ACC1_-.0280571_43.0421_16.6396"
"V4PRE","ACC1_-.0280571_43.0421_16.6396"
"V5","ACC1_-.0280571_43.0421_16.6396"
"V2POST","ACC2_-.0280571_43.0421_16.6396"
"V2PRE","ACC2_-.0280571_43.0421_16.6396"
"V3","ACC2_-.0280571_43.0421_16.6396"
"V4POST","ACC2_-.0280571_43.0421_16.6396"
"V4PRE","ACC2_-.0280571_43.0421_16.6396"
"V5","ACC2_-.0280571_43.0421_16.6396"
"V2POST","NAcc1_-12.2849_36.3081_-3.86153"
"V2PRE","NAcc1_-12.2849_36.3081_-3.86153"
"V3","NAcc1_-12.2849_36.3081_-3.86153"
"V4POST","NAcc1_-12.2849_36.3081_-3.86153"
"V4PRE","NAcc1_-12.2849_36.3081_-3.86153"
"V5","NAcc1_-12.2849_36.3081_-3.86153"
"V2POST","NAcc1_13.5849_36.4029_-3.81283"
"V2PRE","NAcc1_13.5849_36.4029_-3.81283"
"V3","NAcc1_13.5849_36.4029_-3.81283"
"V4POST","NAcc1_13.5849_36.4029_-3.81283"
"V4PRE","NAcc1_13.5849_36.4029_-3.81283"
"V5","NAcc1_13.5849_36.4029_-3.81283"
"V2POST","NAcc2_-12.3398_37.3403_-8.56977"
"V2PRE","NAcc2_-12.3398_37.3403_-8.56977"
"V3","NAcc2_-12.3398_37.3403_-8.56977"
"V4POST","NAcc2_-12.3398_37.3403_-8.56977"
"V4PRE","NAcc2_-12.3398_37.3403_-8.56977"
"V5","NAcc2_-12.3398_37.3403_-8.56977"
"V2POST","NAcc2_13.5891_37.2597_-7.71998"
"V2PRE","NAcc2_13.5891_37.2597_-7.71998"
"V3","NAcc2_13.5891_37.2597_-7.71998"
"V4POST","NAcc2_13.5891_37.2597_-7.71998"
"V4PRE","NAcc2_13.5891_37.2597_-7.71998"
"V5","NAcc2_13.5891_37.2597_-7.71998"
